experiment_id	hypothesis_id	candidate	budget	status	accuracy	mean_query_ops	p95_latency_us	state_bytes	knowledge_compute_slope	depth_compute_slope	integrity_ok	plan_sha256	result_path	created_at
EXP-20260830-0006	HYP-0010	oracle_modular_router	quick	complete	1.0	14.0	0.8666666666666667	38448.0	0.0	1.0	True	45e442158bbb84ff1c8e3c88baacfe14e95a2894ab2831becca02e2200e4b758	research/results/EXP-20260830-0006.json	2026-08-30T01:02:05Z
EXP-20260830-0007	HYP-0002	random_program_guess	quick	complete	0.041666666666666664	1.0	0.7000000000000001	800.0	0.0	0.0	True	986e7e7be77eb670ddcccac7c2d9164378de840f4b982d10f6f3ad6e312e425a	research/results/EXP-20260830-0007.json	2026-08-30T01:22:28Z
EXP-20260830-0007	HYP-0002	primitive_program_search	quick	complete	1.0	4717.833333333333	634.2166666666667	800.0	0.0	3.4065125323384313	True	986e7e7be77eb670ddcccac7c2d9164378de840f4b982d10f6f3ad6e312e425a	research/results/EXP-20260830-0007.json	2026-08-30T01:22:28Z
EXP-20260830-0007	HYP-0002	exact_program_memo	quick	complete	1.0	4717.833333333333	769.8833333333333	1696.0	0.0	3.4065125323384313	True	986e7e7be77eb670ddcccac7c2d9164378de840f4b982d10f6f3ad6e312e425a	research/results/EXP-20260830-0007.json	2026-08-30T01:22:28Z
EXP-20260830-0007	HYP-0002	mismatched_library_search	quick	complete	1.0	9134.041666666666	1384.4333333333334	800.0	0.0	3.9381414746721517	True	986e7e7be77eb670ddcccac7c2d9164378de840f4b982d10f6f3ad6e312e425a	research/results/EXP-20260830-0007.json	2026-08-30T01:22:28Z
EXP-20260830-0007	HYP-0002	oracle_library_search	quick	complete	1.0	198.58333333333334	211.58333333333334	800.0	0.0	1.81220532138858	True	986e7e7be77eb670ddcccac7c2d9164378de840f4b982d10f6f3ad6e312e425a	research/results/EXP-20260830-0007.json	2026-08-30T01:22:28Z
EXP-20260830-0007	HYP-0002	learned_library_search	quick	complete	1.0	198.58333333333334	272.0833333333333	6780.0	0.0	1.81220532138858	True	986e7e7be77eb670ddcccac7c2d9164378de840f4b982d10f6f3ad6e312e425a	research/results/EXP-20260830-0007.json	2026-08-30T01:22:28Z
EXP-20260830-0008	HYP-0002	random_program_guess	screen	complete	0.013888888888888888	1.0	0.2972222222222222	1504.0	0.0	0.0	True	893b80ace915461ed9249019c0e0edcb4bccec006cb7836ec666d2a73b19e426	research/results/EXP-20260830-0008.json	2026-08-30T01:34:11Z
EXP-20260830-0008	HYP-0002	primitive_program_search	screen	complete	0.9930555555555556	82124.43055555556	9256.194444444445	1504.0	0.0	4.5368481969085686	True	893b80ace915461ed9249019c0e0edcb4bccec006cb7836ec666d2a73b19e426	research/results/EXP-20260830-0008.json	2026-08-30T01:34:11Z
EXP-20260830-0008	HYP-0002	exact_program_memo	screen	complete	0.9930555555555556	82124.43055555556	9354.341666666667	2336.0	0.0	4.5368481969085686	True	893b80ace915461ed9249019c0e0edcb4bccec006cb7836ec666d2a73b19e426	research/results/EXP-20260830-0008.json	2026-08-30T01:34:11Z
